"","D29668_01-AV967","D29669_02-AV968","D29670_03-AV971","D29671_04-AV972","D29672_05-AV974","D29673_06-AV996","D29675_08-AV583","D29676_09-AV584","D29677_10-AV587","D29678_11-AV588","D29679_12-AV596","D29680_13-AV597","D29683_16-AV816","D29684_17-AV817","D29685_18-AV863","D29686_19-AV864","D29691_24-AV580","D29692_25-AV608","D29699_32-AV572","D29700_33-AV586","D29701_34-AV589","D29702_35-AV590","D29703_36-AV591","D29704_37-AV598","D29707_40-AV521","D29708_41-AV527","D29709_42-AV541","D29710_43-AV542","D29711_44-AV543","D29712_45-AV571","D29715_48-AV551T","D29716_49-AV555T","D29717_50-AV555TA","D29718_51-AV612T","D29719_52-AV612TA","D29720_53-AV650T","D29721_54-AV650TA","D29722_55-AV717T","D29723_56-AV718T","D29733_66-AV604T","D29734_67-AV770T","D29735_68-AV791T","D29736_69-AV782.2T","D29737_70-AV794T","D29738_71-AV604TA","D29739_72-AV770TA","D29740_73-AV791TA","D29741_74-AV782.2TA","D29742_75-AV794TA","D29743_76-AV833T","D29746_79-AV567","D29747_80-AV568","D29748_81-AV570","D29749_82-AV579","D29750_83-AV814","D29751_84-AV803","D29752_85-AV865","D29753_86-AV866","D29758_91-AV609","D29759_92-AV610","D29760_93-AV611","D29761_94-AV802"
"D29679_12-AV596",0.47639604995838,0.470851119429593,0.543462590220635,0.411541286735321,0.445446410227632,0.50986339145406,0.47368953928301,0.359220191854865,0.348396228953379,0.285723351500302,0,0.38562453844529,0.47119922790658,0.447676330778823,0.470998099981027,0.464980272748056,0.444434960111203,0.467480705711372,0.418619212306153,0.417592965662934,0.398482239636742,0.391564645466078,0.454140160239416,0.390041964001903,0.393013263238568,0.354240084883614,0.34168071943651,0.336266780853191,0.372272895940307,0.361524173759363,0.542251255863983,0.595320118230745,0.484638241212031,0.588734055866933,0.502033783385802,0.464570456729894,0.429979823145482,0.50033971367835,0.638822852122579,0.554579007635145,0.425379039541413,0.480872653705705,0.400187845557692,0.45585605162981,0.538726939931743,0.416413555322904,0.461981938281382,0.386685761219729,0.426447547048255,0.452474268071907,0.392205966557804,0.324763943436402,0.441630119486004,0.430645407195026,0.441965015275735,0.348473866984608,0.428165471333545,0.430629970160641,0.424135194498557,0.386104206453972,0.377170650601354,0.418379108771873
"D29680_13-AV597",0.495910617988371,0.528514290826946,0.591460937146116,0.431389992506681,0.518122539667564,0.629467502702276,0.52771617933194,0.439507324868977,0.363825579160175,0.407388505965608,0.38562453844529,0,0.594453077440156,0.531916669678375,0.599047034061327,0.505086916636488,0.590230786589287,0.57782801582936,0.467129665951875,0.465750022076014,0.511889139486116,0.52289868525677,0.584543633757876,0.508577117879558,0.360524612687188,0.365133671822271,0.352427224254459,0.506382038311243,0.391870553926802,0.459634345351401,0.541052426693103,0.572959670101343,0.503918499073463,0.489889019724129,0.419291090624857,0.371471074849785,0.46279929787147,0.577315376202761,0.602316192737628,0.401632291429299,0.385767908377668,0.391272517901378,0.379280065017525,0.465425913154287,0.367888361494674,0.349317172717707,0.38763279255325,0.407412635019818,0.495843523422281,0.370349401551182,0.435750458412773,0.451813365914324,0.454699277226145,0.595520440710614,0.583163080114708,0.479230256398228,0.439766850622193,0.533241156160841,0.484461212038108,0.454670383959517,0.492012888528192,0.396262795522981
"D29683_16-AV816",0.447343343153141,0.400535153718987,0.513629330543488,0.490994166005549,0.421392626290908,0.452005762200407,0.53133909397774,0.455048730316552,0.462343173029197,0.490596260084909,0.47119922790658,0.594453077440156,0,0.4406919141565,0.307392494961496,0.450408667832981,0.429991907617472,0.43502488139284,0.503124972420166,0.512905394834012,0.464827853408324,0.451568012806658,0.424550755451978,0.394315564997712,0.522734375008261,0.512947657101016,0.527890459270205,0.405388681033958,0.524275153917886,0.480714315024144,0.645204475173171,0.692734872387416,0.611345386184879,0.736468081972225,0.668923823585189,0.623613251604066,0.560678345550945,0.551534464383099,0.686276158415605,0.682668098353089,0.554654553551376,0.547753232458047,0.549805568552019,0.461865450762233,0.671520298439537,0.554905347279606,0.53744284742851,0.524106841006875,0.450953116338711,0.59137400282664,0.517777795884624,0.485955009414314,0.572586949480194,0.435758854192583,0.409026277959394,0.42800250835896,0.487571186527669,0.386052667661198,0.504781024906616,0.477808288346648,0.446953526345637,0.547815606451554
"D29684_17-AV817",0.41946687167419,0.416691042784069,0.542508316295477,0.43125461434008,0.428906318600069,0.479562477616846,0.500998897069369,0.409319817463478,0.446467785497508,0.401910801459808,0.447676330778823,0.531916669678375,0.4406919141565,0,0.429996112242055,0.45231607563419,0.495653748443005,0.509128290966502,0.511865611203347,0.547430708394479,0.509352181090613,0.506742952591867,0.509768038540012,0.480198100712257,0.47180790217735,0.465571721575625,0.462400855888529,0.463095334688666,0.473580516826671,0.469862942815254,0.584574880996098,0.617470279277696,0.512696810027199,0.678971766262145,0.596899902810755,0.537675934774344,0.482785754007232,0.561056330516258,0.659149088761445,0.612237130327725,0.465085764235727,0.455079914648993,0.447164353877558,0.440581225285225,0.589047443710793,0.446362247062002,0.450230927986765,0.42420421282981,0.423868699855515,0.53808168964071,0.497308549749209,0.406952814157838,0.463995483607997,0.492492156469486,0.473716331409738,0.482910267820385,0.485538667268892,0.438224560680913,0.515261055114407,0.489535743086525,0.476313323974453,0.523623602971757
"D29685_18-AV863",0.465367597825928,0.432646370826044,0.520649450930762,0.495124896607566,0.430254163828926,0.459186625851599,0.503844310667473,0.427896328811344,0.461054844485762,0.457682156817912,0.470998099981027,0.599047034061327,0.307392494961496,0.429996112242055,0,0.417064239843398,0.407049707482752,0.403860449866928,0.479425825012737,0.505508456128591,0.422918146237421,0.447900444067829,0.386271877888134,0.392759330070082,0.536279751804316,0.503050791520563,0.50610316132315,0.396917881073284,0.502075106143053,0.452538187391124,0.621935715995809,0.674859505534768,0.588144314314153,0.733871278386624,0.663967558297221,0.589124693746471,0.515334426097437,0.552350716437927,0.697125745619169,0.671336802764961,0.544317311960116,0.554609313368692,0.53643259831312,0.499298362801086,0.667314705893749,0.549892647652246,0.542063477623283,0.508581961310528,0.472097357079296,0.583378362121893,0.498423780574479,0.457784497512635,0.555393671726103,0.404816041551251,0.397810059913099,0.424834088923308,0.445152239473286,0.355227846231107,0.450772888506843,0.441048631197524,0.412741409477367,0.537020667041479
"D29686_19-AV864",0.468642592720662,0.499085881087884,0.576165559103358,0.448630800199673,0.492546541594363,0.54265159505961,0.503949651069614,0.380752340414354,0.406883023847694,0.43462368846852,0.464980272748056,0.505086916636488,0.450408667832981,0.45231607563419,0.417064239843398,0,0.470130132731407,0.440958689263098,0.464843897135594,0.460195247949802,0.447506365399277,0.506209613098995,0.479445399640218,0.421491086448234,0.446158022966202,0.441228201988758,0.453623205529588,0.433964070721673,0.473847729685097,0.456801864556945,0.595526985324374,0.647173135861272,0.55492321040395,0.662209619675717,0.606555300358374,0.510471398756434,0.480150108861317,0.572684908763526,0.669605777436816,0.593383968957394,0.454554496041821,0.481641168967308,0.475111581293449,0.496447924862233,0.582418693806603,0.461829366061459,0.472705882408735,0.450446752424172,0.482151891572464,0.523471162438754,0.449741311525304,0.447214695700242,0.445986180759235,0.491341978058969,0.491303447402924,0.43018850577249,0.359242616097019,0.314236584337704,0.447403032565848,0.428914746045413,0.451498880158384,0.47318739773027
"D29691_24-AV580",0.532497484109444,0.503181499299171,0.552008331941891,0.535935524306223,0.479556582798723,0.45158211678634,0.510913168957283,0.442012746158232,0.485216136639966,0.457936721093488,0.444434960111203,0.590230786589287,0.429991907617472,0.495653748443005,0.407049707482752,0.470130132731407,0,0.421970795020936,0.402596877121438,0.434076317953925,0.380796920939609,0.386714488241493,0.334570249992093,0.338151201609413,0.471955608182256,0.449650350273849,0.474732754028253,0.345965560998567,0.469269740402121,0.430612734981912,0.617908968803842,0.687946302928821,0.580159472786229,0.722377455316536,0.631956397899609,0.575935213866635,0.519657485289987,0.525812520566411,0.70087820337818,0.680149704413166,0.507555920389474,0.567074745767309,0.519930003634331,0.529204091609319,0.670996643032335,0.510923959911799,0.549572233299069,0.497092788766128,0.481249115948771,0.572418392250542,0.431851078909522,0.411785923547857,0.520830875256173,0.298906782004999,0.403055441364536,0.43926474057087,0.51227947983097,0.420992235586485,0.42780851294012,0.409974567500311,0.365629476977751,0.494433641718361
"D29692_25-AV608",0.50680748843198,0.4953325167449,0.532555868110382,0.507130664291388,0.479932389065141,0.494899873632074,0.521236431809953,0.45025815559484,0.45691604209944,0.463248686825818,0.467480705711372,0.57782801582936,0.43502488139284,0.509128290966502,0.403860449866928,0.440958689263098,0.421970795020936,0,0.446912475041069,0.460173018883873,0.378511214383626,0.416464408730376,0.376799694593045,0.359306242752223,0.513855308810744,0.484743377909045,0.507685458631656,0.394905647877006,0.497249296021945,0.438792236930359,0.647201200461149,0.684805514890195,0.598579522207075,0.703013578846232,0.632347689125644,0.585847631473753,0.519855787552379,0.522693440861177,0.712325223335933,0.666298307365779,0.546898163932443,0.563761269560586,0.553426819713599,0.498702463240348,0.65934931003306,0.545745226255,0.54574002891278,0.533649424888219,0.466512502897479,0.578544160196942,0.466207712915792,0.455961199718294,0.540174352354326,0.417831171358748,0.458847760013988,0.399692838748787,0.448223261123646,0.392920307323354,0.309400194505477,0.355772407282122,0.318424729166109,0.490593939015537
"D29699_32-AV572",0.531542193586891,0.518731524813741,0.587641155067634,0.457875035359249,0.503578839137204,0.536804718182694,0.508658580007539,0.428729754379669,0.39037183833135,0.410838582435087,0.418619212306153,0.467129665951875,0.503124972420166,0.511865611203347,0.479425825012737,0.464843897135594,0.402596877121438,0.446912475041069,0,0.331786144775212,0.350618323305593,0.375464322847724,0.407458048950787,0.366282571297929,0.350267794842747,0.339748260475551,0.38212339850423,0.339798370970023,0.343420966490286,0.298408588705478,0.568783863494875,0.647165568489232,0.547372876484883,0.608489512353107,0.519443515404657,0.448563219465113,0.438848440868813,0.523512617257077,0.660639474117862,0.562597750989741,0.390890714495391,0.438743372612651,0.434442840486193,0.49626958172094,0.557446407772235,0.422407508314145,0.439840678303449,0.428033904838767,0.476649171322881,0.488971721592796,0.299455141122209,0.341301131298854,0.417203472974432,0.417102300853515,0.424356442839524,0.3571293259015,0.449050859063564,0.454770469276868,0.389282061883968,0.372838320599054,0.340082391440291,0.382686164891332
"D29700_33-AV586",0.546229150616415,0.556973617879375,0.620324878655588,0.470143221476955,0.5379103611184,0.571157520731508,0.542025286996969,0.454776291003233,0.431469746996944,0.433525869812273,0.417592965662934,0.465750022076014,0.512905394834012,0.547430708394479,0.505508456128591,0.460195247949802,0.434076317953925,0.460173018883873,0.331786144775212,0,0.327974022043763,0.389005692504261,0.389247538039107,0.356472796375871,0.3773175427833,0.358326284528501,0.392767573172185,0.378195583565254,0.403851155844674,0.394839708370924,0.598894492384494,0.651114683766772,0.552954827124339,0.587531409206678,0.531357797918056,0.477806278262861,0.49186996479004,0.527406235089444,0.670657131725567,0.564955116065676,0.414241552116753,0.446444428469188,0.44214184433437,0.520436018395566,0.553710494148253,0.445701658032743,0.452144464172053,0.426186517714542,0.501985399597816,0.480144731947868,0.345774464266967,0.388104826836715,0.470976217267435,0.454143700874989,0.463427970200438,0.394448174103993,0.447804062127855,0.454050313130412,0.403001793244276,0.369969157570273,0.363746055832505,0.373702079876166
