"","id","metabolite","sample","logInt","age","genotype"
"84","neg_461","FA 22:6_1","CC_AV612",13.4739547492507,"20wk","tg/tg"
"85","neg_461","FA 22:6_1","CC_AV650",8.50875873302311,"20wk","tg/tg"
"86","neg_461","FA 22:6_1","CC_AV717",11.4597342468158,"20wk","tg/tg"
"87","neg_461","FA 22:6_1","CC_AV718",11.9993376764472,"20wk","tg/tg"
"88","neg_461","FA 22:6_1","CC_AV770",10.1548350670867,"12wk","tg/tg"
"89","neg_461","FA 22:6_1","CC_AV782",11.2962608575689,"12wk","tg/tg"
"90","neg_461","FA 22:6_1","CC_AV791",9.15517992463978,"12wk","tg/tg"
"91","neg_461","FA 22:6_1","CC_AV794",7.90307579890012,"12wk","tg/tg"
"92","neg_461","FA 22:6_1","CC_AV802",10.0286313858626,"12wk","fl/fl"
"93","neg_461","FA 22:6_1","CC_AV816",7.49704173211567,"5wk","fl/fl"
"94","neg_461","FA 22:6_1","CC_AV817",7.79903702688536,"5wk","tg/tg"
"95","neg_461","FA 22:6_1","CC_AV833",11.6063023870649,"12wk","tg/tg"
"96","neg_461","FA 22:6_1","CC_AV863",7.91267828192005,"5wk","fl/fl"
"97","neg_461","FA 22:6_1","CC_AV864",10.9006556378376,"5wk","fl/fl"
"98","neg_461","FA 22:6_1","CC_AV865",9.94528578323825,"5wk","fl/fl"
"99","neg_461","FA 22:6_1","CC_AV866",9.86059319978064,"5wk","fl/fl"
"100","neg_461","FA 22:6_1","CC_AV967",9.65194327111511,"5wk","tg/tg"
"101","neg_461","FA 22:6_1","CC_AV968",9.75479284827171,"5wk","tg/tg"
"102","neg_461","FA 22:6_1","CC_AV971",10.7967793906825,"5wk","tg/tg"
"103","neg_461","FA 22:6_1","CC_AV972",8.19649654171457,"5wk","tg/tg"
"104","neg_461","FA 22:6_1","CC_AV974",10.2491460022925,"5wk","tg/tg"
"105","neg_461","FA 22:6_1","CC_AV996",10.4818111855323,"5wk","tg/tg"
"106","neg_474","FA 22:5_2","CC_AV555",11.1643856835533,"20wk","tg/tg"
"107","neg_474","FA 22:5_2","CC_AV572",6.09060254878091,"20wk","fl/fl"
"108","neg_474","FA 22:5_2","CC_AV580",6.71478870104637,"12wk","fl/fl"
"109","neg_474","FA 22:5_2","CC_AV586",7.60573900831614,"20wk","fl/fl"
"110","neg_474","FA 22:5_2","CC_AV589",7.32902029107922,"20wk","fl/fl"
"111","neg_474","FA 22:5_2","CC_AV590",5.07008283221939,"20wk","fl/fl"
"112","neg_474","FA 22:5_2","CC_AV591",5.40933567453057,"20wk","fl/fl"
"113","neg_474","FA 22:5_2","CC_AV598",7.48623835116033,"20wk","fl/fl"
"114","neg_474","FA 22:5_2","CC_AV604",11.7428871494556,"12wk","tg/tg"
"115","neg_474","FA 22:5_2","CC_AV608",6.00299699480676,"12wk","fl/fl"
"116","neg_474","FA 22:5_2","CC_AV609",5.88922194751551,"12wk","fl/fl"
"117","neg_474","FA 22:5_2","CC_AV610",5.77604713608835,"12wk","fl/fl"
"118","neg_474","FA 22:5_2","CC_AV611",4.70180661756732,"12wk","fl/fl"
"119","neg_474","FA 22:5_2","CC_AV612",11.1763924740015,"20wk","tg/tg"
"120","neg_474","FA 22:5_2","CC_AV650",9.93327125279694,"20wk","tg/tg"
"121","neg_474","FA 22:5_2","CC_AV717",12.206878894459,"20wk","tg/tg"
"122","neg_474","FA 22:5_2","CC_AV718",9.22756421279274,"20wk","tg/tg"
"123","neg_474","FA 22:5_2","CC_AV770",7.25153317874997,"12wk","tg/tg"
"124","neg_474","FA 22:5_2","CC_AV782",7.35495405893991,"12wk","tg/tg"
"125","neg_474","FA 22:5_2","CC_AV791",8.82720636091995,"12wk","tg/tg"
