"","CC_AV521","CC_AV527","CC_AV541","CC_AV542","CC_AV543","CC_AV555","CC_AV567","CC_AV570","CC_AV571","CC_AV572","CC_AV579","CC_AV580","CC_AV583","CC_AV584","CC_AV586","CC_AV587","CC_AV588","CC_AV589","CC_AV590","CC_AV591","CC_AV596","CC_AV597","CC_AV598","CC_AV604","CC_AV608","CC_AV609","CC_AV610","CC_AV611","CC_AV612","CC_AV650","CC_AV717","CC_AV718","CC_AV770","CC_AV782","CC_AV791","CC_AV794","CC_AV802","CC_AV803","CC_AV814","CC_AV816","CC_AV817","CC_AV833","CC_AV863","CC_AV864","CC_AV865","CC_AV866","CC_AV967","CC_AV968","CC_AV971","CC_AV972","CC_AV974","CC_AV996"
"pos_957",2.37830566760474,4.31165170282546,3.24380040636698,4.28226363148534,5.15530475251108,6.53313485284722,5.16007574016634,4.43452319282716,4.23897226751871,6.49492163455895,5.65867503016687,4.54715773607115,4.98548358496666,-0.0136996291561374,5.8199270450943,4.96225280987799,5.52155863032182,2.8114156012768,5.88070499908061,6.4816313091998,5.6212972193225,4.69212515458541,5.87887645411807,5.81420778199117,4.64379670455471,4.86171955046991,4.77145144088476,4.68633270632986,6.10378873211573,7.31806682682389,3.25879338450543,7.43061815352492,5.88469414186584,5.89072744027449,4.93079895456566,4.9748701492683,1.73628622311566,6.46623460814075,6.21021346211784,6.51268436283643,6.31663045998347,6.61330097914355,5.75473812269809,5.04651184734948,5.63230658541503,5.22717261344099,5.82275291537334,5.7346509154876,4.86916400410689,3.32540447016196,6.21654714702411,7.04125182577812
"pos_958",2.18007955739904,4.49564012893788,3.5970163205465,4.87771850602414,5.66541121285833,6.82047516519715,5.61394068292909,4.59313469194493,4.58328014051069,6.47853836695834,5.86698592554139,4.86445525666408,5.10249937885214,-0.18362463059845,6.12865354162096,5.20887670098375,5.38364827429747,3.48518736895581,6.15220549773425,6.71250286149343,6.0295678439022,4.79425793962236,5.82125102000277,5.96686464005186,4.65697209330244,5.18242450408783,5.13828789325432,5.2508311044913,6.1044985451883,7.60612349913212,3.787531382949,7.59144094785998,6.05181308717646,5.78314755307468,4.93125142282745,5.20775494442239,2.20490476259935,6.43062226954618,6.23188080241387,6.27750406933727,6.57010876799424,6.82803982793656,5.9030668953336,5.45274941736684,5.60233450566397,5.46080610283422,6.04107351875651,6.07678258109814,5.10673067574395,3.64629053174949,6.39306376887327,7.00315095501045
"pos_959",4.45425452083804,3.0565900102986,2.93552441207083,1.95682105242174,1.18913147893524,-3.04151812710744,1.53187614560458,2.05559753741651,2.52387585331309,1.7918730639151,3.26560286238481,2.92640134682192,1.10919403142615,4.52027894284621,2.3236032447194,3.98680041749033,-0.285796291735786,5.09857827800348,3.18257914677777,3.99970192626579,1.76937939229163,2.15105029786525,4.48269225057129,-0.801319684725065,3.18304090497003,1.89793973838266,5.04812325464247,3.28381951644521,-0.797433113406092,4.21677031623096,1.8779716005645,-2.40340127011498,1.83570544843014,2.09198564852159,2.72490494096345,3.13557233470794,2.02508372501453,3.44525466923654,1.57515563239262,3.67196069119366,0.685655561505474,-0.31151152446223,2.29425765265808,3.31387217858607,0.475802099735035,2.54326826302619,1.32911981259837,0.0342111973465041,2.9580598845621,3.79662480483392,1.60739014129016,-0.835265120786882
"pos_961",8.89421855987143,10.1650516141332,9.7408618906215,10.3928215570675,10.6670261489444,11.4637803399586,10.933128165627,9.51857281227885,9.70651190650496,12.3507439160457,11.084272821202,10.9133068808106,10.4554204609881,4.35940718965679,10.9096567571287,10.2753197724575,11.7155193005169,8.5790325687517,11.3550066554233,12.2819500947066,11.2461666396029,10.0636032866615,11.0743666573216,11.3040796159605,11.3315303264543,10.199643769574,9.7736459691738,11.5166741488862,11.4748879159276,11.9954988968467,8.31918669673257,14.3353521690712,11.4023353677939,11.0138265855961,10.8025477027261,10.6007427503772,7.07102455590242,12.4268070864998,11.3982808105808,14.1778235661793,12.2186787958228,11.9662117571481,11.4959699190363,10.3187906533084,10.721037869469,10.7604481067357,12.0050033567572,11.3859633074341,10.4594845753796,8.35902624752205,11.5649872825998,12.1206571732317
"pos_963",4.36114511644655,3.97633705432319,4.7900561274965,2.90304979598076,5.56748722783942,5.42858807651282,4.86747917738902,4.57259111446167,5.22333314374111,4.83780934808195,2.06158897036322,5.35548358153904,3.83408679329178,2.41628821158868,6.73081165760464,5.72553510450959,5.60326730690086,3.29684242844704,3.3187158347638,6.41718260147296,5.80012108064261,5.75746590825273,4.44264753167589,4.8820648692363,4.59807840424887,4.43850811974536,4.62356781394911,4.91905522364759,7.39442443328618,4.48291063293258,4.93926777983337,9.92669937315982,5.92260986310455,7.1056960285525,7.36206453598935,5.90316389290491,5.02428555346395,7.41775587011321,4.32704777079693,6.14937005076001,7.21095885155891,7.52418802328934,6.78534110637633,4.71316609503243,5.95189570921807,6.13119622222391,6.41599319723545,7.00415725911668,5.27167018800448,4.53133442505976,5.78296170587361,2.59936310684984
"pos_965",10.5002241509361,11.4186392332776,10.9273995298843,11.8118604240128,12.9335307156635,14.0481877864428,12.9932337796563,11.3674983186812,11.9129693752176,14.1830092260339,13.2167874868113,12.0509123008094,12.263719165833,3.34775682991786,13.132881868321,12.1213684709774,13.0061089908741,10.4062733519338,13.2771998307968,14.1573871309365,12.9496959894588,12.1474999830884,13.2244414649302,13.1889418904333,13.1083555687909,12.1223002572319,12.3150945876674,13.0109615107369,13.9936968491046,14.7831688746748,10.9010521076736,15.8722769611117,13.1572701543351,13.1449875897376,12.3289901076432,12.6390272819148,9.43548817196197,13.855004687436,13.7147555854015,14.236266251666,14.1177479270567,14.0050725014902,13.524364575399,12.6429702555355,12.7085494518667,12.6967147381189,13.2773754954667,13.6164838803979,12.2562316645578,10.3716912694126,13.5284937944476,14.3836740835622
"pos_968",2.57824323811349,0.569427435927742,4.71288219503799,2.63269204934111,4.51752906915216,3.14675805023301,2.38748623626941,4.62613296750239,5.40413660903899,7.07858029873326,2.20075171803484,3.38164516849578,2.21228752439025,-0.0961617893481103,2.18851562168622,2.20031468748033,1.39701353238352,2.72652670369028,1.35250414822008,1.11705887690395,3.12978163499363,2.5082068810636,2.08688584171265,2.75667576839582,3.56491154031367,3.34102027484331,2.11025335433652,2.80604626181841,1.85657103174472,0.35878932110339,1.44951358552334,2.28766019968287,6.57646262175872,1.09198564852159,8.16523026736177,4.63933875258112,2.33418777954431,3.34813220233843,2.03563610243263,0.983904697508401,2.10069306078432,4.50155704878977,1.75473812269809,2.80053260569542,1.9264635087446,4.93558568580496,-0.753342347593598,4.14505696603479,4.05613976077365,3.81528864909896,4.18526321722499,6.62672582979869
"pos_969",8.1175845417954,2.78718096246067,7.12802898525594,5.32548720713586,4.7162130635759,3.97591734260897,5.92419356838334,3.01741434352862,3.50782791208122,6.86629790504165,1.87674929490962,4.70051993940559,6.13812328858286,4.3202011073973,2.64068736737544,5.01202491862945,2.80612619770525,1.66702569194162,5.81678516651877,5.8161107209208,3.84301437968669,1.45667658042351,4.29037901737812,1.77022230023377,9.16124578124462,7.46188445783473,4.24623102385549,2.20496409573397,4.46604322689,4.45154646202324,4.7331861614007,3.02462579384908,7.08812190425696,1.00952348832962,8.03992667083031,2.46180056702893,5.63378831460954,6.27814468340128,4.66329722926164,1.9839046975084,2.08051517884669,3.52979072951871,4.56687810732107,6.07418875537891,5.59957864037346,6.91099309006854,-0.840805188843937,2.91413474535475,2.94270024855249,0.118552899721287,0.952886707315923,3.89605391023818
"pos_970",1.02683329710336,2.46001621920716,6.138374051954,2.82808773829954,3.05324805085347,3.25262668533984,8.32360754320168,7.56717319872358,6.18700884589725,10.9514476414533,3.37619372444472,4.00572379948332,4.90120098915032,3.01604771423791,2.64068736737544,6.33112355865625,3.83696360162785,4.13334369616416,2.86440318675151,-0.0349442165411024,2.02753157674568,3.19887882295587,0.43306148284669,0.520608410162297,2.49619879022966,4.24586304180297,3.4455398320789,-0.100844333790111,2.6619985052312,0.446252162353729,1.97483313981709,2.28766019968287,9.66688766269063,2.41391374340896,10.965292453187,4.78715956731656,2.14741926793859,1.90468628787384,4.50570375164048,1.9839046975084,2.15958674983789,4.90010642528004,2.55729205849187,5.70495494571319,2.29683195868972,8.30227281336033,1.01717580628363,-0.38082630193234,0.633947542412859,1.8115751462999,3.42922038586364,6.5222868838312
"pos_971",0.338777303418099,-1.73638099359634,4.40545366984574,3.98728633314879,5.66395394501636,2.67445335028132,0.683879239049635,2.9023976831887,5.14040843303512,-0.447592870780294,3.6219943668404,5.04765705677708,0.746623952041442,0.986300370843863,3.45081226476249,0.392959765422721,0.636201196262941,3.94579302404001,2.15220549773425,1.55001828418005,3.09908483777072,0.0676342896776153,2.45690822480106,3.98004002879959,1.72360928633273,4.77186679540913,2.98776934781152,3.47742351435704,0.285029046785881,6.29836853541808,2.40848631726328,4.60958829457023,1.06351136595295,4.62250036522037,4.18034517363365,4.89920587933623,-0.625170235958342,1.48964878859499,4.73994191053596,3.97385103284448,5.10319556798749,3.00237925135971,3.53304451224519,-0.677514691109226,0.76530871693002,-1.70911889860809,5.6925245434619,5.96165996489441,4.45528669390616,4.30969438707329,4.07298055280623,5.41147547770626
