"","D29613_01-AV555","D29614_02-AV604","D29615_03-AV612","D29616_04-AV650","D29617_05-AV717","D29618_06-AV718","D29619_07-AV770","D29620_08-AV782.2","D29621_09-AV791","D29622_10-AV794","D29623_11-AV833","D29624_12-AV967","D29625_13-AV968","D29626_14-AV971","D29627_15-AV972","D29628_16-AV974","D29629_17-AV996","D29630_18-AV551","D29631_19-AV572","D29632_20-AV580","D29633_21-AV586","D29634_22-AV589","D29635_23-AV590","D29636_24-AV591","D29637_25-AV598","D29638_26-AV608","D29639_27-AV609","D29640_28-AV610","D29641_29-AV611","D29642_30-AV802","D29643_31-AV521","D29644_32-AV527","D29645_33-AV541","D29646_34-AV542","D29647_35-AV543","D29648_36-AV567","D29649_37-AV568","D29650_38-AV570","D29651_39-AV571","D29652_40-AV579","D29653_41-AV803","D29654_42-AV814","D29655_43-AV583","D29656_44-AV584","D29657_45-AV587","D29658_46-AV588","D29659_47-AV596","D29660_48-AV597","D29661_49-AV816","D29662_50-AV817","D29663_51-AV863","D29664_52-AV864","D29665_53-AV865","D29666_54-AV866"
"D29623_11-AV833",0.346895564696062,0.321521743495701,0.385226783080626,0.331735349158869,0.341021930607242,0.369875711369793,0.398490483374876,0.447277957222943,0.399166328280948,0.423348405670153,0,0.532788527987049,0.499739838854461,0.424000539461228,0.39200659531585,0.494931309443047,0.521776022689627,0.40675585184513,0.37878795238998,0.47853789801125,0.417453311442016,0.443646332307743,0.391166789061775,0.556293676974487,0.503072154238685,0.491916029391258,0.447312524216788,0.374711707940178,0.483254496797824,0.397363435244085,0.417717422372579,0.412731896143838,0.410392199810919,0.387279031540152,0.373732130235865,0.38245253846854,0.442807149400633,0.432593420686032,0.357868061733853,0.511137688376881,0.374570627293509,0.40390249410031,0.554417463282693,0.472336730228398,0.387878128454291,0.368815939839268,0.414513602960882,0.350927692811022,0.598080596155946,0.533541169837912,0.575058333610957,0.496040631748083,0.433335331840274,0.522121621066406
"D29624_12-AV967",0.528015437931437,0.523260219419766,0.675329928373648,0.517619927007969,0.573733604296984,0.627838492562758,0.402501702356588,0.465477944225948,0.424680244320531,0.405382580042815,0.532788527987049,0,0.314357657077372,0.440351720020311,0.429060289098864,0.374987105327245,0.372660545915076,0.50936562270716,0.54341707786472,0.45972989366036,0.513664024786384,0.480896902857797,0.526158932895503,0.458147219653993,0.43773903806923,0.478560860113702,0.489720254021461,0.507324243394175,0.478543805320229,0.484676288064505,0.465935533659302,0.455295439151329,0.457855240768359,0.460118632424051,0.487733925577829,0.4893160524763,0.438362763114321,0.451362413660321,0.499788129698128,0.444577296495666,0.485083779757034,0.428781704929488,0.425949254886694,0.408702161481786,0.453928196480068,0.467977713328972,0.472070349213428,0.48063257029104,0.401297791964941,0.375235339648761,0.381061441634489,0.389547464763074,0.460486711622629,0.384052517766861
"D29625_13-AV968",0.502703190915752,0.478191150659908,0.63117709183532,0.486182967750227,0.530010261486921,0.595369510236165,0.369188700940346,0.447380488795448,0.378317708057708,0.350495556429215,0.499739838854461,0.314357657077372,0,0.374223740664961,0.395548039000797,0.320421228980403,0.356941062219086,0.477352736262294,0.508580775157006,0.452156467601166,0.493404461994108,0.458829137381767,0.491302717812858,0.446968541182808,0.436840436306254,0.481848626387798,0.480006788144668,0.48621830037666,0.463804757176163,0.47639348762782,0.455558246925188,0.42388991993142,0.433362681640737,0.42518790616195,0.441129247914341,0.449674780346263,0.426194151211983,0.436270857740502,0.459328615876719,0.431624082582795,0.43668976050934,0.402609719632685,0.462787929395572,0.398637460844705,0.403711712959339,0.429754158687396,0.42487725238981,0.440596307525974,0.406439060213088,0.381333502902136,0.412871704036915,0.39415380190741,0.432099961409081,0.378693884665996
"D29626_14-AV971",0.429989715383389,0.378564168129499,0.526801720452054,0.4132081789186,0.432734932342184,0.505031621626628,0.388504450433499,0.449244406278089,0.361788310501207,0.393537276072333,0.424000539461228,0.440351720020311,0.374223740664961,0,0.277869396655553,0.371548271213386,0.450728731557189,0.462602013187656,0.424111508686817,0.441463068248275,0.41436702953082,0.410547831694207,0.407048798112642,0.468094438103673,0.422927484310137,0.432735993501466,0.414989847417368,0.395997188986154,0.428137282512834,0.417009465811386,0.410090741725979,0.378575177766922,0.377358670648225,0.365035960339455,0.386544781189806,0.373079923841156,0.393354041840239,0.381725742696952,0.401025493456473,0.440486842409006,0.388637102249951,0.38169312986697,0.525486359675306,0.392990294559136,0.368585908628976,0.391513717803834,0.378831729986479,0.376518182781371,0.470928921898325,0.430860924550297,0.460072195594712,0.413389555213925,0.376107967763263,0.402126099963296
"D29627_15-AV972",0.4219843300418,0.377693867963884,0.513797250644768,0.376151184002992,0.398151400853956,0.47651425736527,0.328754199700393,0.400287244211641,0.362963169841092,0.375672790032987,0.39200659531585,0.429060289098864,0.395548039000797,0.277869396655553,0,0.348238991850921,0.405474392720102,0.414546507602294,0.428546639078106,0.432660000991114,0.405092628154277,0.387170486972073,0.397503073748577,0.467704791874579,0.409789887936336,0.458961225844064,0.428150003742406,0.382241100858523,0.421674995875195,0.382075539562519,0.406223724981207,0.377011495288404,0.337804328348176,0.370695903926312,0.370946925435724,0.3671960258337,0.360143150340836,0.366352163598618,0.369480281723214,0.433232371701693,0.372570361815461,0.342173992623728,0.506533805503838,0.374710910115723,0.343954208230104,0.353640182100787,0.345702164530188,0.357036988398588,0.494251244951017,0.410676019122259,0.45831946200612,0.412327447089976,0.366585481836866,0.400983526826186
"D29628_16-AV974",0.539308426276216,0.477263933270255,0.614466663522874,0.485432946557396,0.518509669458451,0.584538574045949,0.383663293189417,0.483584111953371,0.398968634956018,0.382304452085397,0.494931309443047,0.374987105327245,0.320421228980403,0.371548271213386,0.348238991850921,0,0.32979852015291,0.500901843753408,0.505778888429826,0.430863448705592,0.48916435197649,0.453441895894855,0.49739184692223,0.442683240960465,0.411911240063286,0.477092482784301,0.46433089385658,0.461855719082819,0.434108374009802,0.455030424772729,0.461818201168564,0.418533343681815,0.430248481240394,0.454296973034143,0.46127532472638,0.451359521487167,0.421616829711487,0.445865488917053,0.465949088773523,0.408641391823063,0.446474359442472,0.433444897839605,0.461203761925553,0.404821418111909,0.447550956185529,0.430929280451198,0.423601815101232,0.43034460653711,0.445635309447417,0.382545292765327,0.427235100693785,0.418242805185716,0.431342448396539,0.397652636719509
"D29629_17-AV996",0.566785672224189,0.525854721194003,0.664098122350089,0.5386615051388,0.561751610362583,0.615837759059216,0.383332774648359,0.487492290016298,0.42038436575404,0.378667816789028,0.521776022689627,0.372660545915076,0.356941062219086,0.450728731557189,0.405474392720102,0.32979852015291,0,0.536011272071822,0.54930966590086,0.457530809137004,0.515388631526427,0.482808589071313,0.53141512243755,0.472342853285932,0.463068142723488,0.507279778486926,0.526601603809594,0.515988721818592,0.488270931627411,0.509740010881674,0.486054524301964,0.466000142530507,0.491803438097662,0.475265467642085,0.488843160200033,0.482585563069355,0.465925807135538,0.473296301070965,0.489338227309724,0.421470086397055,0.497872580070706,0.455802054607523,0.475405864563462,0.437498569244748,0.488253078732788,0.476816239673206,0.462949398434224,0.476750887048654,0.459174261576312,0.372570120127267,0.46060312906554,0.422165995922223,0.493190883270541,0.429172103580009
"D29630_18-AV551",0.369828928077187,0.419019633776746,0.496076490382017,0.34156593712203,0.408769184272486,0.431358936840213,0.379288661708065,0.444706911709053,0.409171735838554,0.422624017866563,0.40675585184513,0.50936562270716,0.477352736262294,0.462602013187656,0.414546507602294,0.500901843753408,0.536011272071822,0,0.416797522401316,0.449940232188968,0.484829203534723,0.449887759143147,0.428608230541043,0.522017141476603,0.500225473670879,0.517857075488249,0.491938751210417,0.430178833914545,0.487809295093623,0.4367380016119,0.427103599790882,0.408907950945481,0.399589245127584,0.402512862770252,0.366233158806853,0.379585183997568,0.38599710385543,0.367388848770545,0.384540823158812,0.500292679527118,0.391743958767181,0.375532115086092,0.500892639288847,0.445958323315488,0.408106269137746,0.406914314480395,0.41916358570745,0.414665555791297,0.564429273723608,0.500573505313788,0.515135422366312,0.482550409480714,0.433445022558067,0.479185345227577
"D29631_19-AV572",0.445145805570323,0.37349481600828,0.482241220194951,0.387172964514856,0.421709169029163,0.490930825716829,0.398684925860903,0.478182746887905,0.396411222379923,0.449125001104345,0.37878795238998,0.54341707786472,0.508580775157006,0.424111508686817,0.428546639078106,0.505778888429826,0.54930966590086,0.416797522401316,0,0.352550026551993,0.353792305577137,0.365397977564059,0.339727262707201,0.45980452625049,0.395260409020517,0.402249866043674,0.360641080417431,0.312143260976425,0.385475226723036,0.325125451385226,0.320441978915984,0.334522561638205,0.371790621778001,0.298993540836823,0.319631840069856,0.303972048999091,0.374629543953512,0.366009261846161,0.294441475076707,0.456423525165637,0.338436247446585,0.363905165384154,0.540194324316022,0.430308053690065,0.349089492779005,0.365643883598029,0.400523209297773,0.36731747056496,0.549563302350416,0.514483196099518,0.509509030323369,0.425678707975459,0.396876256445975,0.453305555634666
"D29632_20-AV580",0.509321156358528,0.460706447932464,0.623396520690664,0.470323550225617,0.483981825516431,0.579366433729754,0.353155966946052,0.438554883960156,0.415796708001386,0.418586575920054,0.47853789801125,0.45972989366036,0.452156467601166,0.441463068248275,0.432660000991114,0.430863448705592,0.457530809137004,0.449940232188968,0.352550026551993,0,0.36771030141242,0.29877136722843,0.337407021368505,0.320904347386132,0.275503756132006,0.373883655710696,0.334936714579763,0.329764555373868,0.309851023971268,0.323978673023422,0.351922499142217,0.295847803259563,0.320190109652464,0.317839438964887,0.364360062458616,0.330393945172415,0.319496346139967,0.336728499768214,0.391430308076567,0.313603230077388,0.337658891055136,0.34158632716077,0.442884661653608,0.360317265457986,0.404789797295461,0.407898960223832,0.385563910882336,0.422266008421568,0.423537075505156,0.447188441937268,0.380372567884374,0.349462066066587,0.399463252341496,0.342797985584604
